in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,out_size,converted_time,out_file
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.mzML,13443072,4724883222,698.5627558,122.7857143,185.3638393,6.17E-08,0.195942012,,4.400390407,698.5627558,LFQ_TTOF6600_DDA_Human_01.mzML
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.mzXML,13443072,5852614411,1260.977459,112.2071429,146.2433036,6.17E-08,0.121686258,,5.450671921,1260.977459,LFQ_TTOF6600_DDA_Human_01.mzXML
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.mz5,13443072,3321064703,394.2428413,112,118.8164063,4.32E-07,0.015695706,,3.09298253,394.2428413,LFQ_TTOF6600_DDA_Human_01.mz5
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.mzMLb,13443072,2152736110,520.5039858,120.11,152.7042969,6.48E-08,0.1250561,,2.004891736,520.5039858,LFQ_TTOF6600_DDA_Human_01.mzMLb
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.mzML,83083264,1.06839E+11,13314.65115,92.93333333,104.3190104,0.709290673,0.003935705,,99.50137978,13314.65115,LFQ_TTOF6600_ScanningSWATH_Human_01.mzML
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.mzXML,83083264,1.31613E+11,23347.40428,99.1,186.9006696,0.197233994,0.006218161,,122.573974,23347.40428,LFQ_TTOF6600_ScanningSWATH_Human_01.mzXML
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.mz5,83083264,62000099526,7289.581305,,,,,,57.74209232,7289.581305,LFQ_TTOF6600_ScanningSWATH_Human_01.mz5
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.mzMLb,83083264,37597360236,10207.87064,105.2133333,261.1434896,0.031446326,0.000994096,,35.01527033,10207.87064,LFQ_TTOF6600_ScanningSWATH_Human_01.mzMLb
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.mzML,20434944,21596657372,3281.315672,109.9666667,99.35677083,0,6.08E-05,,20.11345455,3281.315672,LFQ_TTOF6600_SWATH_Human_01.mzML
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.mzXML,20434944,27638457977,5775.138628,,,,,,25.74031984,5775.138628,LFQ_TTOF6600_SWATH_Human_01.mzXML
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.mz5,20434944,15228693368,1638.481462,120.7866667,232.5653646,1.44E-07,0.078901697,,14.18282592,1638.481462,LFQ_TTOF6600_SWATH_Human_01.mz5
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.mzMLb,20434944,9959457477,2238.395469,115.325,134.3417969,0,0.001855844,,9.275467579,2238.395469,LFQ_TTOF6600_SWATH_Human_01.mzMLb
