in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,,
W-RB5R_D27PrTzF_BE_S1_L001_R2.fastq,W-RB5R_D27PrTzF_BE_S1_L001_R2.omg-yaml,30340019658,8785682713,414.6835939,3743.48,56.33359375,0,2.783348964,,28.25634522,8.182304644
W-RB5R_D27PrTzF_BE_S1_L001_R2.fastq,W-RB5R_D27PrTzF_BE_S1_L001_R2.omg-binary,30340019658,6592708841,411.9944346,3742.241667,60.95410156,0,2.105046694,,28.25634522,6.139938571
W-RB5W_D27PrTzF_LE_S1_L001_R1.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R1.omg-json,19669362687,3624952174,354.2168554,,,,,,18.3185215,3.375999792
W-RB5W_D27PrTzF_LE_S1_L001_R1.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R1.omg-yaml,19669362687,3610485803,366.5232973,3442.833333,45.89583333,0,1.258100918,,18.3185215,3.362526934
W-RB5W_D27PrTzF_LE_S1_L001_R1.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R1.omg-binary,19669362687,2711044575,355.4190905,3467.6,45.57421875,0,0.906829397,,18.3185215,2.524857013
W-RB5W_D27PrTzF_LE_S1_L001_R2.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R2.omg-json,30693348863,8882627293,427.344124,3435.4,61.40494792,2.272233095,2.559110668,,28.58540869,8.27259132
W-RB5W_D27PrTzF_LE_S1_L001_R2.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R2.omg-yaml,30693348863,8868160922,417.6393139,,,,,,28.58540869,8.259118462
W-RB5W_D27PrTzF_LE_S1_L001_R2.fastq,W-RB5W_D27PrTzF_LE_S1_L001_R2.omg-binary,30693348863,6654605572,419.125032,3761.166667,55.32096354,0,2.065465681,,28.58540869,6.197584394
W-RB60_D27PrTzF_OE_S1_L001_R1.fastq,W-RB60_D27PrTzF_OE_S1_L001_R1.omg-json,20488875390,3783817765,389.5588829,3473.476471,58.36006434,1.693082797,1.255936673,,19.08175218,3.523954903
W-RB60_D27PrTzF_OE_S1_L001_R1.fastq,W-RB60_D27PrTzF_OE_S1_L001_R1.omg-yaml,20488875390,3768748663,375.4848663,3506.85625,59.74194336,0,1.301307376,,19.08175218,3.509920708
W-RB60_D27PrTzF_OE_S1_L001_R1.fastq,W-RB60_D27PrTzF_OE_S1_L001_R1.omg-binary,20488875390,2829635165,379.5596649,3456.923529,56.82881434,0,0.961222988,,19.08175218,2.635303107
W-RB60_D27PrTzF_OE_S1_L001_R2.fastq,W-RB60_D27PrTzF_OE_S1_L001_R2.omg-json,31972175998,9277827071,503.2270946,,,,,,29.77640927,8.640649795
